#X Y timestamp framecnt Z flag
136.8 106.0 1654241755.07 3102871 0.0 0
136.8 108.6 1654241758.37 3107056 0.0 0
136.8 111.2 1654241761.66 3111240 0.0 0
136.8 113.8 1654241764.95 3115425 0.0 0
136.8 116.4 1654241768.24 3119609 0.0 0
136.8 119.0 1654241771.53 3123793 0.0 0
136.8 121.6 1654241774.82 3127977 0.0 0
136.8 124.2 1654241778.11 3132160 0.0 0
136.8 126.8 1654241781.4 3136345 0.0 0
136.8 129.4 1654241784.69 3140529 0.0 0
136.8 132.0 1654241787.98 3144713 0.0 0
136.8 134.6 1654241791.27 3148899 0.0 0
136.8 137.2 1654241794.56 3153083 0.0 0
136.8 139.8 1654241797.85 3157266 0.0 0
136.8 142.4 1654241801.14 3161449 0.0 0
136.8 145.0 1654241804.43 3165631 0.0 0
168.0 80.0 1654241811.91 3175139 0.0 1
139.4 15.0 1654241819.39 3184647 0.0 0
139.4 17.6 1654241822.68 3188831 0.0 0
139.4 20.2 1654241825.97 3193014 0.0 0
139.4 22.8 1654241829.26 3197197 0.0 0
139.4 25.4 1654241832.55 3201382 0.0 0
139.4 28.0 1654241835.84 3205566 0.0 0
139.4 30.6 1654241839.13 3209750 0.0 0
139.4 33.2 1654241842.42 3213934 0.0 0
139.4 35.8 1654241845.71 3218119 0.0 0
139.4 38.4 1654241849.0 3222303 0.0 0
139.4 41.0 1654241852.29 3226487 0.0 0
139.4 43.6 1654241855.58 3230675 0.0 0
139.4 46.2 1654241858.88 3234867 0.0 0
139.4 48.8 1654241862.17 3239053 0.0 0
139.4 51.4 1654241865.46 3243236 0.0 0
139.4 54.0 1654241868.75 3247421 0.0 0
139.4 56.6 1654241872.04 3251605 0.0 0
139.4 59.2 1654241875.33 3255789 0.0 0
139.4 61.8 1654241878.62 3259973 0.0 0
